Category,Sub-Category,Tool Name,Company,Pricing (approx),Free Tier,Key Capabilities,Best For,Website
Coding,IDE Assistant,GitHub Copilot,GitHub / Microsoft,"$10/mo (Individual), $19/mo (Business)",No,"Inline code completion, chat, PR summaries, multi-file edits, test generation","Developers already using VS Code or JetBrains",https://github.com/features/copilot
Coding,IDE / Agent,Cursor,Anysphere,"$20/mo (Pro)",Yes (limited),"AI-native IDE (VS Code fork), Composer Mode for multi-file edits, ghost text, model switching, codebase context","Developers wanting deep AI integration in their editor",https://www.cursor.com
Coding,CLI Agent,Claude Code,Anthropic,"Usage-based (API)",No,"Terminal-based coding agent, multi-agent collaboration, 1M context window, auto memory, context compaction, 75.6% SWE-bench","Complex repo-level tasks and refactoring",https://claude.ai/code
Coding,IDE Assistant,JetBrains AI,JetBrains,"$10/mo (add-on)",No,"In-editor code completion, inline chat, test generation, refactoring suggestions inside JetBrains IDEs","JetBrains IDE users (IntelliJ, PyCharm, etc.)",https://www.jetbrains.com/ai
Coding,IDE Assistant,Tabnine,Tabnine,"$12/mo (Pro)",Yes,"AI code completion, whole-line and full-function suggestions, privacy-focused (runs locally), supports 80+ languages","Teams with strict data privacy requirements",https://www.tabnine.com
Coding,IDE Assistant,Gemini Code Assist,Google,"Free for individuals",Yes,"Code completion, generation, chat, debugging, Google Cloud integration","Google Cloud / GCP developers",https://cloud.google.com/gemini/docs/codeassist
Coding,IDE Assistant,Amazon Q Developer,Amazon / AWS,"$19/mo (Pro)",Yes,"Code completion, security scanning, inline chat, AWS service integration, unit test generation","AWS developers",https://aws.amazon.com/q/developer
Coding,Agentic Coding,Devin,Cognition AI,"$500/mo",No,"Fully autonomous AI software engineer, browses web, writes and runs code, fixes bugs end-to-end","Delegating complete development tasks",https://cognition.ai
Coding,Agentic Coding,Aider,Aider AI,Free (open source),Yes,"CLI coding agent, pairs with LLMs (GPT/Claude/Gemini), multi-file editing, git-aware, voice mode","Open-source lovers and CLI power users",https://aider.chat
Coding,App Builder,Bolt.new,StackBlitz,Free + paid tiers,Yes,"Browser-based full-stack app builder, generates React/Next.js apps from prompts, instant preview","Rapid prototyping and MVPs without local setup",https://bolt.new
Coding,App Builder,Replit Agent,Replit,"$25/mo (Core)",Yes,"Cloud IDE + AI agent, builds full-stack apps from prompts, deploys instantly, collaborative","Students and indie developers building fast",https://replit.com
Coding,App Builder,Lovable,Lovable,"$20/mo (Starter)",Yes,"Generates full-stack web apps from prompts, Supabase integration, GitHub sync, instant deploy","Non-technical founders building web apps",https://lovable.dev
Coding,Code Review,Qodo (formerly CodiumAI),Qodo,"$19/mo (Teams)",Yes,"AI code review, test generation, PR analysis, code integrity checks, catches logic bugs","Teams improving code quality and review speed",https://www.qodo.ai
Coding,Security,Snyk Code,Snyk,Free + paid,Yes,"AI-powered static analysis, detects vulnerabilities in real-time as you code, fix suggestions","Security-conscious developers and DevSecOps teams",https://snyk.io/product/snyk-code
Coding,General LLM,ChatGPT (GPT-4o),OpenAI,"$20/mo (Plus)",Yes (GPT-3.5),"Conversational coding help, code generation, debugging, explaining concepts, data analysis","General-purpose coding Q&A and learning",https://chatgpt.com
Coding,General LLM,Claude (Sonnet/Opus),Anthropic,"$20/mo (Pro)",Yes,"Long-context code analysis (1M tokens), writing, reasoning, coding tasks, safe outputs","Large codebase understanding and long documents",https://claude.ai
Coding,General LLM,Gemini Advanced,Google,"$20/mo (One AI Premium)",Yes,"Multimodal reasoning, code generation, 1M token context, Google Workspace integration","Developers in Google ecosystem",https://gemini.google.com
UI/UX,Design Generation,Figma Make,Figma,Included in Figma plans,Yes (Figma free tier),"Prompt-to-UI generation inside Figma, design library integration, code handoff, layout editing","Designers already using Figma",https://www.figma.com/make
UI/UX,Design Generation,Uizard,Uizard,"$12/mo (Pro)",Yes,"Text-to-UI, sketch-to-design, screenshot-to-design, low/high fidelity mockups, chat-based refinement","Quick wireframing and prototyping from ideas",https://uizard.io
UI/UX,Design Generation,Galileo AI,Galileo AI,Waitlist / invite,No,"Figma-first AI designer, generates high-fidelity UI screens from prompts, multi-step flows (onboarding/dashboards)","Designers needing polished SaaS or mobile UI fast",https://www.usegalileo.ai
UI/UX,Full-Stack Builder,Emergent,Emergent,Free + paid,Yes,"Vibe coding platform, generates full UI + backend + deployment from prompts, links UI to data models","Non-developers building complete products",https://emergent.sh
UI/UX,UX Research & Validation,UX Pilot,UX Pilot,"$19/mo (Standard), $29/mo (Pro)",No,"Predictive heatmaps, AI wireframing, usability validation, design critique, user flow generation","UX researchers and designers validating designs pre-testing",https://uxpilot.ai
UI/UX,User Flow,Flowstep,Flowstep,Freemium,Yes,"Generates complete user journeys from text descriptions, UI screen generation per step","Mapping out full user flows quickly",https://www.flowstep.ai
UI/UX,Design Assets,Adobe Firefly,Adobe,Included with Creative Cloud,No,"AI image and asset generation, style matching, mockup creation, generative fill, design direction exploration","Designers in Adobe ecosystem needing custom assets",https://firefly.adobe.com
UI/UX,Copywriting,Jasper,Jasper AI,"$49/mo (Creator)",No,"AI writing for UI copy, microcopy, button labels, error messages, product descriptions, onboarding text","UX writers and designers needing production-ready copy",https://www.jasper.ai
UI/UX,Prototyping,Framer AI,Framer,"$5/mo (Mini)",Yes,"AI-generated websites and UI from text prompts, CMS, animations, publish-ready output","Designers building interactive prototypes and landing pages",https://www.framer.com
UI/UX,Design System,Locofy.ai,Locofy,Freemium,Yes,"Converts Figma/Adobe XD designs to production-ready code (React, Vue, Next.js, React Native)","Bridging the gap between design and frontend dev",https://www.locofy.ai
UI/UX,Accessibility,Stark,Stark,"$39/mo (Professional)",Yes,"Accessibility checking inside Figma/Sketch/Adobe XD, contrast checker, WCAG compliance, focus order","Designers building accessible and compliant UIs",https://www.getstark.co
